90,Label,Environment - EN,Norm - EN,Demographic features - EN,scope - EN,Age - EN,Gender - EN,Religion - EN,Ethnicity - EN,Family status - EN,Family role - EN,Educational roles - EN,Social status - EN,Age - FA,Gender - FA,Religion - FA,Ethnicity - FA,Family status - FA,Family role - FA,Educational roles - FA,Social status - FA,Demographic features - FA,Norm - FA,Environment - FA
767,Taboo,Mourning ceremony,Not observing hijab,female,Specific,,female,,,,,,,,زن,,,,,,,زن,عدم رعایت حجاب,مراسم عزاداری
768,Taboo,Mourning ceremony,Not observing hygiene in distributing votive offerings,,Specific,,,,,,,,,,,,,,,,,,عدم رعایت بهداشت در توزیع نذری,مراسم عزاداری
769,Expected,Mourning ceremony,Observing hijab,female,Specific,,female,,,,,,,,زن,,,,,,,زن,رعایت حجاب,مراسم عزاداری
770,Expected,Mourning ceremony,Observing silence,Muslim,General,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,رعایت سکوت,مراسم عزاداری
771,Expected,Mourning ceremony,Offering a seat to an elderly person,young; ,Specific,young,,,,,,,,جوان,,,,,,,,جوان; ,گذاشتن احترام به بزرگترها,مراسم عزاداری
772,Expected,Mourning ceremony,Offering votive charity/alms to the needy,,Specific,,,,,,,,,,,,,,,,,,پرداخت نذری و صدقه به نیازمندان,مراسم عزاداری
773,Normal,Mourning ceremony,Performing bloody self-flagellation,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,زنجیرزنی و ریختن خون در عزاداری,مراسم عزاداری
774,Expected,Mourning ceremony,Preserving Iranian traditions,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,حفظ سنت های ایرانی,مراسم عزاداری
775,Expected,Mourning ceremony,Preserving ritual traditions,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,حفظ سنت های آیینی,مراسم عزاداری
776,Normal,Mourning ceremony,Providing emergency services at mourning rituals,,Specific,,,,,,,,,,,,,,,,,,ارائه خدمات امدادی در مراسم عزاداری,مراسم عزاداری
777,Normal,Mourning ceremony,Providing financial aid and support for war victim families,,General,,,,,,,,,,,,,,,,,,کمک مالی و حمایت از بازماندگان جنگ,مراسم عزاداری
778,Expected,Mourning ceremony,Reciting elegies at mourning ceremonies,,Specific,,,,,,,,,,,,,,,,,,تصنیف خوانی در مراسم سوگواری,مراسم عزاداری
779,Expected,Mourning ceremony,Reciting eulogies and lamenting,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,مداحی و نوحه خوانی,مراسم عزاداری
780,Taboo,Mourning ceremony,Reciting eulogies and lamenting,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,مداحی و نوحه خوانی,مراسم عزاداری
781,Expected,Mourning ceremony,Reciting Rowzeh without excess,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,روضه خوانی بدون زیاده روی,مراسم عزاداری
782,Taboo,Mourning ceremony,Reciting Rowzeh without excess,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,روضه خوانی بدون زیاده روی,مراسم عزاداری
783,Expected,Mourning ceremony,Respecting religious rites during ceremonies,,General,,,,,,,,,,,,,,,,,,رعایت شعائر مذهبی در حین برگزاری مراسم,مراسم عزاداری
784,Expected,Mourning ceremony,Respecting religious symbols,Muslim,General,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,احترام گذاشتن به نمادهای مذهبی,مراسم عزاداری
785,Expected,Mourning ceremony,Sending salutations upon martyrs' souls,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,صلوات فرستادن برای ارواح مطهر شهدا,مراسم عزاداری
786,Taboo,Mourning ceremony,Sending salutations upon martyrs' souls,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,صلوات فرستادن برای ارواح مطهر شهدا,مراسم عزاداری
787,Expected,Mourning ceremony,Sympathizing and supporting the grieving,Muslim,General,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,همدردی و همراهی با مصیبت دیدگان,مراسم عزاداری
788,Expected,Mourning ceremony,Wearing black,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,پوشین لباس مشکی,مراسم عزاداری
789,Taboo,Mourning ceremony,Wearing black,Not muslim,Specific,,,Not muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,پوشیدن لباس مشکی,مراسم عزاداری
790,Expected,Mourning ceremony,Weeping during a rowzeh recital,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,گریه در هنگام روضه خوانی,مراسم عزاداری
791,Taboo,Mourning ceremony,Weeping during a rowzeh recital,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,گریه و عزاداری برای امام حسین(ع),مراسم عزاداری
792,Expected,Mourning ceremony,Weeping for martyrs,,Specific,,,,,,,,,,,,,,,,,,گریستن به یاد شهدا,مراسم عزاداری
793,Normal,Muharram,Distributing votie Gheimeh,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,پخش نذری قیمه در ایام محرم,محرم
794,Expected,Muharram,Not setting up salavati stations,Not muslim,General,,,Not muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,عدم راه اندازی ایستگاه های صلواتی,محرم
795,Expected,Muharram,Setting up salavati stations,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,برپایی ایستگاه های صلواتی,محرم
796,Taboo,Muharram mourning,Criticizing religious traditions in cyberspace,,Specific,,,,,,,,,,,,,,,,,,انتقاد از سنت های مذهبی در فضای مجازی,محرم
797,Expected,Muharram mourning,Observing religious rites during Muharram,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,رعایت شعائر مذهبی در محرم,محرم
798,Taboo,Muharram mourning,Observing religious rites during Muharram,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,رعایت شعائر مذهبی در محرم,محرم
799,Normal,Muharram mourning,Sharing appropriate Muharram content,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,به اشتراک گذاشتن محتوای مناسب محرم,محرم
800,Taboo,Muharram mourning,Sharing appropriate Muharram content,Not Muslim,General,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,به اشتراک گذاشتن محتوای مناسب محرم,محرم
801,Expected,Muharram mourning,Wearing appropriate formal attire for ceremonies,,Specific,,,,,,,,,,,,,,,,,,پوشش مناسب و رسمی برای شرکت در مراسم,محرم
802,Expected,Muharram mourning,Wearing black during Muharram,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,پوشیدن لباس سیاه در ماه محرم,محرم
803,Normal,Multinational city,Coexisting and promoting tolerance for diverse cultures,,General,,,,,,,,,,,,,,,,,,همزیستی و تساهل با فرهنگ ها و اقوام مختلف,شهر چندملیتی
804,Expected,Municipality,Holding free elections to choose representatives,,General,,,,,,,,,,,,,,,,,,برگزاری انتخابات آزاد برای انتخاب نمایندگان,شهرداری
805,Expected,Museum,Avoiding making noise,,General,,,,,,,,,,,,,,,,,,سر و صدا نکردن,موزه
806,Expected,Museum,Explaining about customs of different ethnicities as a guide,,General,,,,,,,,,,,,,,,,,,برخورد محترمانه با ادیان و اقوام مختلف به عنوان راهنمای موزه,موزه
807,Taboo,Museum,Getting naked,,General,,,,,,,,,,,,,,,,,,برهنه شدن در موزه,موزه
808,Normal,Museum,Honoring Iranian luminaries and greats,,Specific,,,,,,,,,,,,,,,,,,تجلیل از مشاهیر و بزرگان ایرانی,موزه
809,Expected,Museum,Introducing/transferring cultural heritage to new generation,,General,,,,,,,,,,,,,,,,,,معرفی و انتقال میراث فرهنگی به نسل جدید,موزه
810,Expected,Museum,Observing etiquette,,General,,,,,,,,,,,,,,,,,,رعایت آداب و شئونات,موزه
811,Expected,Museum,Observing rules/regulations of every place,,General,,,,,,,,,,,,,,,,,,توجه به قوانین و مقررات هر مکان,موزه
812,Normal,Museum,Organzing an exhibition to familiarize people with cultures of Iranian ethnicities,,Specific,,,,,,,,,,,,,,,,,,برپایی نمایشگاهی برای آشنایی مردم با فرهنگ اقوام ایرانی,موزه
813,Expected,Museum,Preserving cultural and historical heritage sites,,General,,,,,,,,,,,,,,,,,,حفظ اماکن میراث فرهنگی و تاریخی,موزه
814,Expected,Museum,Preserving spiritual heritage,,General,,,,,,,,,,,,,,,,,,پاسداشت میراث معنوی,موزه
815,Expected,Museum,Refraining from touching or damaging artifacts,,General,,,,,,,,,,,,,,,,,,خودداری از لمس یا آسیب به اشیاء,موزه
816,Expected,Museum,Respecting intellectual property rights of literary and artistic works,,General,,,,,,,,,,,,,,,,,,رعایت حقوق معنوی آثار ادبی و هنری,موزه
817,Expected,Museum,Supporting national values,,General,,,,,,,,,,,,,,,,,,حمایت از ارزش های ملی,موزه
818,Normal,Museum,Taking photographs,,General,,,,,,,,,,,,,,,,,,گرفتن عکس,موزه
819,Taboo,Museum,Visiting an art museum with someone unknown,student,General,,,,,,,student,,,,,,,,دانش آموز,,دانش آموز,بازدید از موزه با یک شخص ناشناس,موزه
820,Normal,Museum,Visiting an art museum with the teacher,student,General,,,,,,,student,,,,,,,,دانش آموز,,دانش آموز,بازدید از موزه به صورت گروهی,موزه
821,Normal,Museum,Visiting historical and ancient sites,,General,,,,,,,,,,,,,,,,,,بازدید از آثار تاریخی و باستانی,موزه
822,Taboo,Music concert,Attending illegal music concerts,,General,,,,,,,,,,,,,,,,,,تماشای کنسرت موسیقی غیرمجاز,کنسرت موسیقی
823,Normal,Music concert,Encouraging family to attend concerts,,General,,,,,,,,,,,,,,,,,,تشویق خانواده برای حضور در کنسرت,کنسرت موسیقی
824,Taboo,Music concert,Holding a rap music concert,,Specific,,,,,,,,,,,,,,,,,,برگزاری کنسرت موسیقی رپ,کنسرت موسیقی
825,Expected,Music concert,Listening to permitted music,,Specific,,,,,,,,,,,,,,,,,,گوش دادن به موسیقی مجاز,کنسرت موسیقی
826,Normal,Music concert,Maintaining tranquility,,General,,,,,,,,,,,,,,,,,,حفظ آرامش,کنسرت موسیقی
827,Normal,Music concert,Respecting intellectual property rights of artists,,Specific,,,,,,,,,,,,,,,,,,احترام به حقوق معنوی هنرمندان,کنسرت موسیقی
828,Expected,National ceremony,Avoiding disrespecting national symbols,,General,,,,,,,,,,,,,,,,,,پرهیز از بی احترامی به نمادهای ملی,مراسم ملی
829,Expected,National ceremony,Honoring national rituals,,General,,,,,,,,,,,,,,,,,,پاسداشت شعائر ملی,مراسم ملی
830,Expected,National ceremony,Promoting national culture and authentic Iranian traditions,,Specific,,,,,,,,,,,,,,,,,,ترویج فرهنگ ملی و آداب اصیل ایرانی,مراسم ملی
831,Expected,National ceremony,Showing respect to national symbols,,General,,,,,,,,,,,,,,,,,,ادای احترام به نمادهای ملی,مراسم ملی
832,Expected,National ceremony,Using national and cultural symbols,,General,,,,,,,,,,,,,,,,,,استفاده از نمادهای ملی و فرهنگی,مراسم ملی
833,Expected,National media,Implementing severe vetting and censorship of national media content by the government,,Specific,,,,,,,,,,,,,,,,,,اعمال بررسی و سانسور شدید محتوای رسانه ملی توسط دولت,رسانه ملی
834,Expected,National media,Promoting culture of joy/vitality in society,,General,,,,,,,,,,,,,,,,,,تبلیغ و گسترش فرهنگ شادی و نشاط در سطح جامعه,رسانه ملی
835,Taboo,National park,Illegal hunting of birds,,General,,,,,,,,,,,,,,,,,,شکار غیرمجاز پرندگان,پارک ملی
836,Expected,National park,Protecting endangered animals,,General,,,,,,,,,,,,,,,,,,مراقبت و حفاظت از جانوران در معرض خطر,پارک ملی
837,Expected,National security council meeting,Maintaining silence and confidentiality in classified meetings,,General,,,,,,,,,,,,,,,,,,حفظ سکوت و رازداری در جلسات محرمانه,جلسه شورای امنیت ملی
838,Expected,Natural disaster,Empathizing with victims of natural disasters,,General,,,,,,,,,,,,,,,,,,همدردی با آسیب دیدگان در حوادث طبیعی,فاجعه طبیعی
839,Expected,Nature,Preserving natural resources,,General,,,,,,,,,,,,,,,,,,حفظ منابع طبیعی,طبیعت
840,Expected,Nature,Protecting the environment,,General,,,,,,,,,,,,,,,,,,حفظ محیط زیست,طبیعت
841,Expected,Neighborhood,Greeting and inquiring about neighbors,,General,,,,,,,,,,,,,,,,,,سلام و احوالپرسی با همسایگان,محله
842,Taboo,Neighborhood,Interfering in others' private lives,,General,,,,,,,,,,,,,,,,,,دخالت در زندگی خصوصی دیگران,محله
843,Expected,Neighborhood,Jumping over fire on Chaharshanbe Suri,,General,,,,,,,,,,,,,,,,,,پریدن از روی آتش در چهارشنبه سوری,محله
844,Normal,Neighborhood,Playing in the streets and alleys,young; ,Specific,young,,,,,,,,جوان,,,,,,,,جوان; ,بازی کردن در کوچه و خیابان,محله
845,Taboo,Neighborhood,Playing loud music in residential areas,,General,,,,,,,,,,,,,,,,,,پحش موسیقی بلند در مناطق مسکونی,محله
846,Expected,Neighborhood,Respecting neighbors' rights,,General,,,,,,,,,,,,,,,,,,رعایت حقوق همسایگان,محله
847,Normal,Neighborhood,Treating kindly,,General,,,,,,,,,,,,,,,,,,رفتار مهربانانه,محله
848,Taboo,Newspaper,Expressing political free speech in media and publications,,Specific,,,,,,,,,,,,,,,,,,آزادی بیان سیاسی در رسانه ها و مطبوعات,روزنامه
849,Taboo,Newspaper,Publishing news through uncensored and free media,,Specific,,,,,,,,,,,,,,,,,,عدم سانسور و آزادی مطبوعات برای نشر اخبار,روزنامه
850,Expected,Nomadic tents,Avoiding drugs/alcohol,,Specific,,,,,,,,,,,,,,,,,,پرهیز از مصرف مواد مخدر و مشروبات الکلی,چادرنشینی
851,Normal,Nomadic tents,Inquiring about acquaintances' business affairs,,General,,,,,,,,,,,,,,,,,,پرسش از اوضاع کسب و کار آشنایان,چادرنشینی
852,Expected,Nomadic tents,Living a nomadic lifestyle,,Specific,,,,,,,,,,,,,,,,,,زندگی عشایری,چادرنشینی
853,Expected,Nomadic tents,Living traditionally and simply in nomadic tents,,Specific,,,,,,,,,,,,,,,,,,زندگی سنتی و ساده در چادرنشینی,چادرنشینی
854,Expected,Nomadic tents,Politely declining initial offers out of etiquette,,Specific,,,,,,,,,,,,,,,,,,رد کردن تعارف های اولیه به دلیل ادب,چادرنشینی
855,Expected,Nomadic tents,Providing hospitality,,General,,,,,,,,,,,,,,,,,,میهمان نوازی,چادرنشینی
856,Expected,Nomadic tents,Respecting indigenous ethnic beliefs/traditions,,General,,,,,,,,,,,,,,,,,,احترام به باورها و سنت های قومی و محلی,چادرنشینی
857,Expected,Nomadic tents,Respecting rights/customs of nomadic tribes,,General,,,,,,,,,,,,,,,,,,احترام به حقوق و رسوم بومیان و اقوام کوچ نشین,چادرنشینی
858,Expected,Nomadic tents,Using local language/dialect,,Specific,,,,,,,,,,,,,,,,,,استفاده از زبان و گویش محلی,چادرنشینی
859,Expected,Nomadic tents,Warmly greeting neighbors,,General,,,,,,,,,,,,,,,,,,سلام و احوالپرسی صمیمانه با همسایگان,چادرنشینی
860,Expected,Nomadic tents,Wearing traditional attire,,General,,,,,,,,,,,,,,,,,,پوشیدن لباس محلی,چادرنشینی
861,Expected,Nowruz,Buying new clothes for family members,adult; parent,Specific,adult,,,,,parent,,,بالغ,,,,,والدین,,,بالغ; والدین,خرید لباس نو برای اعضای خانواده,نوروز
862,Expected,Nowruz,Celebrating national/ritual traditions,,Specific,,,,,,,,,,,,,,,,,,گرامیداشت سنت های ملی و آیینی,نوروز
863,Expected,Nowruz,Celebrating Nowruz traditions,,Specific,,,,,,,,,,,,,,,,,,گرامیداشت سنت های نوروزی,نوروز
864,Normal,Nowruz,Celebrating Nowruz with traditional rituals in the village,,Specific,,,,,,,,,,,,,,,,,,برگزاری جشن نوروز با رسوم سنتی در روستا,نوروز
865,Expected,Nowruz,Cooking Samanou,,Specific,,,,,,,,,,,,,,,,,,پختن سمنو,نوروز
866,Expected,Nowruz,Cooking special and traditional foods for Nowruz,,Specific,,,,,,,,,,,,,,,,,,آشپزی غذاهای ویژه و سنتی برای نوروز,نوروز
867,Expected,Nowruz,Cooking vegetable coco during Eid,,Specific,,,,,,,,,,,,,,,,,,پختن کوکو سبزی در ایام عید,نوروز
868,Expected,Nowruz,Eating fish and vegetable rice,,Specific,,,,,,,,,,,,,,,,,,خوردن ماهی و سبزی پلو در شب عید,نوروز
869,Expected,Nowruz,Extending Nowruz greetings in cyberspace,,Specific,,,,,,,,,,,,,,,,,,تبریک گفتن به مناسبت جشن نوروز در فضای مجازی,نوروز
870,Expected,Nowruz,Initially declining offers before accepting,,Specific,,,,,,,,,,,,,,,,,,رد کردن تعارف های اولیه قبل از پذیرش,نوروز
871,Expected,Nowruz,Observing Nowruz customs in cyberspace,,Specific,,,,,,,,,,,,,,,,,,رعایت آداب و رسوم نوروزی در فضای مجازی,نوروز
872,Expected,Nowruz,Preserving Iranian traditions in national celebrations,,Specific,,,,,,,,,,,,,,,,,,حفظ سنت های ایرانی در مراسم ملی,نوروز
873,Expected,Nowruz,Respecting local customs/rituals,,Specific,,,,,,,,,,,,,,,,,,گرامیداشت آداب و رسوم محلی,نوروز
874,Normal,Nowruz,Reviving and performing ancient rituals,,Specific,,,,,,,,,,,,,,,,,,بازسازی و اجرای آیین های باستانی,نوروز
875,Expected,Nowruz,Setting the Haft-Seen table for Nowruz,,Specific,,,,,,,,,,,,,,,,,,چیدن سفره هفت سین در عید نوروز,نوروز
876,Expected,Nowruz,Sharing Nowruz related content,,Specific,,,,,,,,,,,,,,,,,,انتشار محتوای مرتبط با جشن نوروز,نوروز
877,Expected,Nowruz,Thanking and appreciating guests,,Specific,,,,,,,,,,,,,,,,,,تشکر و قدردانی از مهمانان,نوروز
878,Expected,Nowruz,Visiting family during Nowruz,,Specific,,,,,,,,,,,,,,,,,,سر زدن به خانواده در ایام نوروز,نوروز
879,Normal,Nursing home,Allowing elder/sick people not to fast during Ramadan,elderly; ,Specific,elderly,,,,,,,,مسن,,,,,,,,مسن; ,روزه خوری کردن برای افراد کهنسال یا بیمار در ماه رمضان,خانه سالمندان
880,Expected,Nursing home,Respecting the elderly by nurses,,Specific,,,,,,,,,,,,,,,,,,احترام به سالمندان به عنوان پرستار,خانه سالمندان
881,Normal,Office meeting,Appreciating others' efforts,,General,,,,,,,,,,,,,,,,,,قدردانی از زحمات دیگران,ادارات
882,Normal,Office meeting,Avoiding excessive use of cellphones in the workplace,,General,,,,,,,,,,,,,,,,,,پرهیز از استفاده بیش از حد از گوشی در محیط کار,ادارات
883,Normal,Office meeting,Avoiding personal tasks during office hours,,Specific,,,,,,,,,,,,,,,,,,پرهیز از انجام کارهای شخصی در ساعات اداری,ادارات
884,Expected,Office meeting,Being accountable and responsible,,General,,,,,,,,,,,,,,,,,,پاسخگو بودن و مسئولیت پذیر بودن,ادارات
885,Normal,Office meeting,Expressing frank opinions on politics and current affairs,,General,,,,,,,,,,,,,,,,,,اظهار نظر صریح درباره سیاست و مسائل جاری,ادارات
886,Taboo,Office meeting,Expressing interest in opposite-gender coworkers,,Specific,,,,,,,,,,,,,,,,,,ابراز علاقه به همکار جنس مخالف,ادارات
887,Taboo,Office meeting,Giving flowers/gifts to women in the workplace,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,اهدای گل و هدیه به زنان در فضای کار,ادارات
888,Expected,Office meeting,Interacting respectfully and politely with colleagues,,General,,,,,,,,,,,,,,,,,,تعامل کردن محترمانه و مودبانه با همکاران,ادارات
889,Expected,Office meeting,Maintaining discipline in workplace,,General,,,,,,,,,,,,,,,,,,رعایت نظم و انضباط در محیط کار,ادارات
890,Normal,Office meeting,Maintaining proper distance in conversations,unmarried; ,Specific,,,,,unmarried; ,,,,,,,,ازدواج نکرده,,,,ازدواج نکرده,رعایت فاصله مناسب در گفتگوها,ادارات
891,Expected,Office meeting,Observing Islamic decorum,,Specific,,,,,,,,,,,,,,,,,,رعایت شئونات اسلامی,ادارات
892,Expected,Office meeting,Offering constructive criticism without impudence,,General,,,,,,,,,,,,,,,,,,ارائه انتقاد سازنده بدون جسارت و بی احترامی,ادارات
893,Expected,Office meeting,Offering others to enter/sit first,,Specific,,,,,,,,,,,,,,,,,,تعارف کردن افراد به ورود یا نشستن اول,ادارات
894,Normal,Office meeting,Providing useful and insightful suggestions,,General,,,,,,,,,,,,,,,,,,ارائه پیشنهادات مفید و راهگشا,ادارات
895,Normal,Office meeting,Refraining from making disturbing noises,,General,,,,,,,,,,,,,,,,,,خودداری از تولید صدای مزاحم,ادارات
896,Taboo,Office meeting,Speaking without permission in office meetings,,General,,,,,,,,,,,,,,,,,,صحبت کردن در جلسه اداری بدون اجازه,ادارات
897,Expected,Office meeting,Standing up for elders out of respect,young; ,Specific,young,,,,,,,,جوان,,,,,,,,جوان; ,به احترام بزرگترها از جا بلند شدن,ادارات
898,Taboo,Office meeting,Telling sexual jokes,,General,,,,,,,,,,,,,,,,,,گفتن جوک های جنسی,ادارات
899,Taboo,Office meeting,Using profanities in the workplace,,General,,,,,,,,,,,,,,,,,,استفاده از کلمات رکیک در محیط کار,ادارات
900,Taboo,Official ceremonies,Disrespecting national symbols,,General,,,,,,,,,,,,,,,,,,بی احترامی به نمادهای ملی,مراسم رسمی
901,Normal,Official marriage office,Engaging in temporary 'Sigheh' marriages,,Specific,,,,,,,,,,,,,,,,,,انجام ازدواج موقت «صیغه»,دفتر ازدواج
902,Expected,Old tehran,Performing street plays at night,,Specific,,,,,,,,,,,,,,,,,,خیمه شب بازی,تهران قدیم
903,Taboo,Park,Abandoning stray dogs in urban environments,,General,,,,,,,,,,,,,,,,,,رها کردن سگ های ولگرد در محیط شهری,پارک
904,Taboo,Park,Accepting open LGBTQ relationships in society,,Specific,,,,,,,,,,,,,,,,,,پذیرش ارتباط آزادانه همجنسگرایان در جامعه,پارک
905,Normal,Park,Addressing people by family titles in public,,General,,,,,,,,,,,,,,,,,,صدا زدن افراد با القاب خانوادگی در اماکن عمومی,پارک
906,Expected,Park,Avoiding illicit relations between unmarried men and women,young; unmarried,Specific,young,,,,unmarried,,,,جوان,,,,ازدواج نکرده,,,,جوان; ازدواج نکرده,پرهیز از رابطه نامشروع بین زن و مرد غیرمتأهل,پارک
907,Expected,Park,Avoiding inappropriate dress,,Specific,,,,,,,,,,,,,,,,,,پرهیز از پوشش نامناسب,پارک
908,Expected,Park,Avoiding littering and pollution in nature,,General,,,,,,,,,,,,,,,,,,پرهیز از تولید زباله و آلودگی در طبیعت,پارک
909,Normal,Park,Avoiding littering in public places,,General,,,,,,,,,,,,,,,,,,خودداری از پرت کردن زباله در معابر عمومی,پارک
910,Normal,Park,Avoiding noise and environmental pollution,,General,,,,,,,,,,,,,,,,,,خودداری از ایجاد آلودگی صوتی و محیطی,پارک
911,Normal,Park,Avoiding singing in public places,friend,General,,,,,friend,,,,,,,,دوست,,,,دوست,پرهیز از آواز خواندن در مکان های عمومی,پارک
912,Normal,Park,Carrying sanitary items,,General,,,,,,,,,,,,,,,,,,همراه داشتن وسایل بهداشتی,پارک
913,Taboo,Park,Causing destruction and damage to public property,,General,,,,,,,,,,,,,,,,,,تخریب و آسیب رساندن به اموال عمومی,پارک
914,Taboo,Park,Committing physical assault and harassment in public,,General,,,,,,,,,,,,,,,,,,ارتکاب تجاوز فیزیکی و آزار و اذیت در ملاء عام,پارک
915,Taboo,Park,Committing sexual assault and harassment in secluded areas,,General,,,,,,,,,,,,,,,,,,تجاوز و آزار جنسی در اماکن خلوت,پارک
916,Normal,Park,Completely avoiding looking at or interacting with non-mahrams,,Specific,,,,,,,,,,,,,,,,,,پرهیز کامل از نگاه و ارتباط با نامحرم,پارک
917,Taboo,Park,Consuming alcohol during Muharram,,Specific,,,,,,,,,,,,,,,,,,مصرف مشروبات الکلی در ایام محرم,پارک
918,Taboo,Park,Disrespecting family,,General,,,,,,,,,,,,,,,,,,بی احترامی به خانواده,پارک
919,Taboo,Park,Drinking alcoholic beverages,,Specific,,,,,,,,,,,,,,,,,,نوشیدن مشروبات الکلی,پارک
920,Normal,Park,Engaging in mild sexual banter among same-sex friends,,General,,,,,,,,,,,,,,,,,,گفتن شوخی‌های ملایم جنسی بین دوستان همجنس,پارک
921,Taboo,Park,Engaging in public sexual acts,,Specific,,,,,,,,,,,,,,,,,,نمایش رفتارهای جنسی علنی,پارک
922,Taboo,Park,Engaging in sexual activity as a couple,,Specific,,,,,,,,,,,,,,,,,,انجام رابطه جنسی به عنوان یک زوج,پارک
923,Taboo,Park,Exhibiting public display of affection,,Specific,,,,,,,,,,,,,,,,,,اظهار علاقه عاطفی در حضور دیگران,پارک
924,Taboo,Park,Gambling,,Specific,,,,,,,,,,,,,,,,,,قمار و شرط‌بندی,پارک
925,Taboo,Park,Harassing and disturbing stray dogs,,General,,,,,,,,,,,,,,,,,,ایجاد مزاحمت با سگ‌های ولگرد,پارک
926,Normal,Park,Having a desire to take souvenir photos with tourists by locals,,Specific,,,,,,,,,,,,,,,,,,تمایل به گرفتن عکس‌های یادگاری در کنار گردشگران به عنوان یک محلی,پارک
927,Normal,Park,Holding art exhibitions,,General,,,,,,,,,,,,,,,,,,برگزاری نمایشگاه نقاشی,پارک
928,Normal,Park,Holding nighttime gatherings,,Specific,,,,,,,,,,,,,,,,,,شرکت در تجمعات شبانه,پارک
929,Normal,Park,Inappropriately sitting/lounging in public,,General,,,,,,,,,,,,,,,,,,نشستن یا لم دادن نامناسب,پارک
930,Taboo,Park,Kissing one's spouse on the lips in public,,Specific,,,,,,,,,,,,,,,,,,بوسیدن بر روی لب های همسر در ملا عام,پارک
931,Normal,Park,Kissing someone from the same geneder,,Specific,,,,,,,,,,,,,,,,,,بوسیدن یک همجنس,پارک
932,Taboo,Park,Littering,,Specific,,,,,,,,,,,,,,,,,,ریختن زباله,پارک
933,Normal,Park,Maintaining cleanliness and collecting litter,,General,,,,,,,,,,,,,,,,,,حفظ پاکیزگی محیط و جمع‌آوری زباله‌ها,پارک
934,Expected,Park,Maintaining cleanliness and hygiene,,General,,,,,,,,,,,,,,,,,,رعایت نظافت و پاکیزگی,پارک
935,Expected,Park,Maintaining security and peace in public parks,,General,,,,,,,,,,,,,,,,,,حفظ امنیت و آرامش در پارک های عمومی,پارک
936,Taboo,Park,Mistreating domestic/wild animals,,General,,,,,,,,,,,,,,,,,,رفتار نامناسب با حیوانات اهلی و وحشی,پارک
937,Expected,Park,Not wearing revealing clothing,,Specific,,,,,,,,,,,,,,,,,,نپوشیدن لباس های بدن نما در اماکن عمومی,پارک
938,Taboo,Park,Overlooking children's misbehavior and disregarding children's rights,,General,,,,,,,,,,,,,,,,,,بی‌توجهی به حقوق کودکان,پارک
939,Normal,Park,Paying for romantic dates,young; male,Specific,young,male,,,,,,,جوان,مرد,,,,,,,جوان; مرد,پرداخت هزینه قرارهای رمانتیک,پارک
940,Taboo,Park,Paying for romantic dates,female,Specific,,female,,,,,,,,زن,,,,,,,زن,پرداخت کردن قرار عاشقانه,پارک
941,Normal,Park,Planting trees for Arbor Day,,General,,,,,,,,,,,,,,,,,,کاشتن درخت برای روز درختکاری,پارک
942,Normal,Park,Playing and having fun with pets,,General,,,,,,,,,,,,,,,,,,بازی و سرگرمی با حیوانات خانگی,پارک
943,Expected,Park,Playing in the park,child; ,General,child,,,,,,,,کودک,,,,,,,,کودک; ,بازی کردن در پارک,پارک
944,Normal,Park,Playing traditional games,,Specific,,,,,,,,,,,,,,,,,,انجام بازی‌های سنتی,پارک
945,Expected,Park,Playing with children,,General,,,,,,,,,,,,,,,,,,بازی کردن با فرزندان,پارک
946,Normal,Park,Preserving environment/public cleanliness,,General,,,,,,,,,,,,,,,,,,حفظ محیط زیست و پاکیزگی معابر عمومی,پارک
