Norm,Environment,Context,Label
Harassing women and children in public,City street,By miscreants on city streets,Taboo
Obeying educational rules and regulations,School,In a school learning environment,Normal
Observing queue order,Bank,Customers waiting for their turn,Expected
Maintaining kitchen hygiene at the restaurant,Restaurant,Chefs following hygiene practices in the restaurant kitchen,Expected
Not serving pork or alcoholic beverages,Restaurant,Restaurant menus do not include pork or alcoholic beverages,Expected
Valuing teachers and instructors,School,For students and teachers in an educational setting,Expected
Sharing harmful content online,Online,A user sharing violent content online,Taboo
Teaching social etiquette to children and adolescents,School,Teachers instructing polite behaviors and respect to students,Expected
Poetry nights on Yalda Night,Yalda Night,Friends celebrating Yalda Night gatherings,Normal
Avoiding violence,Family,Family members interacting with kindness and gentleness,Expected
Breaking fast after sunset during Ramadan,Mosque,A group of Muslims having iftar at the mosque after sunset during Ramadan,Expected
Introducing partner to family before marriage,Family Home,Family meeting to introduce fiancé(e),Expected
Playing loud music in public places,Cafe,A group of youths playing loud music at a cafe,Normal
Tipping after an expensive restaurant meal,Restaurant,Leaving a tip after dining at an upscale restaurant,Normal
Eulogists' recitations and lamentations,Rowzeh Khani,Shias attending the Rowzeh Khani ceremony,Expected
Humility and modesty,Daily life,People behaving with humility and modesty,Normal
Importance of reading and books,Library,People valuing books and reading,Normal
Chastity and piety,Workplace,Employees avoid inappropriate behaviors,Normal
Communal iftar (breaking the fast),Iftar gathering,Muslims having a communal iftar during Ramadan,Normal
Assisting mother with household chores,Family Home,Young daughter at her parents' home,Expected
Avoiding short and inappropriate dress,University,A female student dressed modestly on university campus,Expected
Weeping for Imam Hussain (AS),Rowzeh recitals,A middle-aged man weeping during a rowzeh recital,Expected
Avoiding waste of public resources,Government offices,Employees performing office duties,Expected
Respecting drivers,Bus,Passengers respecting the driver,Expected
Writing New Year's greetings,Cyberspace,Someone sending New Year's greetings to acquaintances,Expected
Modesty and chastity in male-female relations,University,For female and male students on campus,Expected
Kindness and compassion towards the needy,City street,For citizens in helping the needy on the street,Expected
Disrespectful treatment of the elderly,Family gathering,At a family gathering with elderly relatives,Taboo
Refraining from speaking loudly in public places,Subway,Boarding the crowded subway train,Normal
Eating and drinking on the subway,Subway,A passenger eating and drinking on the subway,Normal
Sharing educational and useful resources,Cyberspace,A teacher sharing educational resources for students in an online group,Expected
Performing plays adhering to moral guidelines,Theater,A theatre group performing a play adhering to moral guidelines,Expected
Expressing respect for grandmother,Grandmother's home,A grandchild kissing grandmother's hand,Expected
Respecting work and effort,Workshops/Production centers,Workers and staff are dedicated to their jobs,Expected
Execution of violent criminals,City square,Carrying out death sentence on a convicted criminal,Normal
Women not shaking hands with non-mahram men,Workplace,A woman not shaking hands with male colleague,Expected
Children playing in the park,Park,Children playing in the park,Normal
Holding 40th day memorial at home,Home,A family holding 40th day memorial for a deceased member at home,Normal
Insulting and denigrating followers of other religions,University,A student insulting non-Muslim religious followers,Taboo
Full body covering for women in public,City street,A woman walking on the street,Expected
Setting the Haft-Seen table,Haft-Seen table,Preparing the Haft-Seen table for the New Year,Expected
No smoking in public places,Cinema,An individual smoking inside the cinema hall,Taboo
Observing hijab for women in public,City street,A woman walking in public places,Expected
Gratitude for divine blessings,Iftar banquet,Fasters being thankful for God's provisions,Expected
Inviting relatives to attend Rowzeh Khani,Rowzeh Khani Ceremony,Women attending Rowzeh Khani,Expected
Maintaining silence in the movie theater,Cinema,Audience watching a film,Expected
Women wearing chador in government premises,Government offices,Female employees wearing chador at work,Expected
Respectful treatment of service staff,Restaurant,Customers treating waitstaff and restaurant personnel respectfully,Expected
Protecting animals at the zoo,Zoo,Guards protecting animals at a zoo,Expected
Dressing modestly per Islamic values,University,Students commuting on university grounds,Expected
Congratulating host at celebratory events/dancing,Wedding ceremony,Friend's wedding celebration,Expected
Engaging in charitable/public welfare works,Mourning Ceremony,Participating in local mourning rituals,Expected
Non-marital relations between men and women,University,Among female and male students on campus,Taboo
Disregarding children's rights,Park,Parents overlooking children's misbehavior in a park,Taboo
Gender segregated seating,Cinema,In movie theaters for families and single individuals,Normal
"Temporary ""Sigheh"" marriages ",Temporary marriage office,People registering temporary marriages at the office,Normal
Avoiding causing nuisance to others,Cyberspace,Someone posting inappropriate content in cyberspace,Expected
Having suhoor and iftar,Ramadan month,Fasting Muslims during Ramadan,Expected
Government employees accepting bribes for services,Government office,A clerk accepting bribes to do tasks,Taboo
Observing dress code restrictions for women,University,For female students on university premises,Expected
Having a humanitarian spirit,Relief situations,Relief workers rushing to help victims,Expected
Reckless and careless driving,City street,Drivers driving recklessly ignoring traffic laws,Normal
Observing judicial decorum/respect for court,Court,A defendant displaying courtroom etiquette,Expected
Making noise and disturbing others,Hospital,In the quiet and calm environment of a hospital,Taboo
Providing free medical and health services to the needy,Charitable medical centers,Doctors providing free services to impoverished patients,Expected
Necessity of full hijab for women in public,University,Veiled women commuting at university,Expected
Speaking loudly in a hotel,Hotel,A group speaking loudly and disturbing others in a hotel,Taboo
Obeying traffic laws and rules,Traffic police,Drivers avoiding overtaking improperly,Normal
Observing optimal consumption patterns and avoiding waste,Home,Managing resources and optimal use at home,Normal
Preserving cultural heritage at historical sites,Historical site,Tourists visiting a historical site while observing preservation guidelines,Expected
Playing loud music in public spaces,City street,A group of youths playing loud music in the street,Taboo
Carpet weaving,Villages,Village women weaving carpets and rugs,Expected
Visiting a historical caravanserai,Historical caravanserai,"A group of tourists visiting an ancient, historical caravanserai",Normal
Showing respect to national symbols,National ceremony,Participants honoring the national flag,Expected
Throwing red rose petals at the bride and groom,Wedding ceremony,"At the wedding ceremony, red rose petals are thrown at the bride and groom",Normal
Insulting Ramadan online,Ramadan,An individual posting inappropriate jokes about fasting,Taboo
Respecting local customs and traditions,Desert,In a desert area,Normal
Gifting on occasions,Gathering,A guest giving a gift to the host,Normal
Refraining from rudeness and misconduct,Cinema,In a movie theater during the screening,Normal
Respecting intellectual property rights of literary and artistic works,Museum,Visitors refraining from unauthorized copying of artworks,Expected
Keeping promises,Interpersonal relationships,People honoring their commitments and agreements,Expected
Energy and water conservation,Government office,"Employees conserving water, electricity and gas at workplace",Expected
Offering hospitality to companions,Public transportation,Boarding a bus or subway,Normal
Singing in public,Subway,Singing in a crowded subway environment,Taboo
Refraining from insulting/demeaning others,University,Students interacting on campus,Expected
Avoiding unauthorized collection/purchase of antiquities,Archaeological Site,Visiting historical/archaeological sites,Expected
Preserving historical sites/cultural heritage,Visiting ancient sites,Visiting historical sites/monuments,Expected
Making noise in public places,Library,A group of students laughing and talking loudly,Taboo
Assisting grandmother with chores,Grandmother's Home,Grandchild helping grandmother,Expected
Observing hijab in educational environments,University,Female students on university campus,Expected
Wearing traditional clothing in villages,Village,Villagers going about their daily chores,Normal
Eating halal food at guesthouses,Guesthouse,Guests eating halal food at a guesthouse,Expected
Asserting individual and civil rights before authorities,Court,A citizen defending civil rights before a judge,Normal
Not hosting guests on Nowruz day,Home,A host refraining from receiving guests on Nowruz,Taboo
Frequently offering more food and drinks to guests,Restaurant,Waiters constantly offering more portions to guests,Normal
Restrictions on women's clothing in sports venues,Sports club,Women exercising,Expected
Avoiding singing and loud music,Mourning ceremonies,A group of mourners at a somber gathering,Expected
Serving halal meat at restaurants,Restaurant,Customers eating halal food at a restaurant,Expected
Illegal abortions for pregnant women,Unlicensed clinic,A pregnant woman getting an illegal abortion,Taboo
Tipping the waiter,Restaurant,At a restaurant after the meal,Normal
Criticizing ancient traditions in cyberspace,Cyberspace,Users in cyberspace,Taboo
Kissing elders' hands at New Year's moment,Home,An individual kissing elders' hands at start of New Year,Normal
Offering without coercion to accept,Wedding ceremony,Host offering food/drinks,Expected
Importance of research,University,Researchers pursuing knowledge,Normal
Giving gifts on various occasions,Family party,Host and guests exchanging gifts at a party,Expected
Emphasizing the importance of children's education and upbringing,School,Students and teachers in school,Expected
Not wearing revealing clothing in public places,Park,People enjoying leisure time in a park,Expected
Homosexuality of same-sex couples,Home,Two gay men or two lesbian women living together,Taboo
Preserving others' dignity and honor,Workplace,Employees refrain from slandering and defaming coworkers,Expected
Observing full hijab at mosques,Mosque,Women wearing full chador and hijab while visiting and praying at the mosque,Expected
Openly proselytizing for another religion,University,A Christian student proselytizing for Christianity,Taboo
Avoiding disturbing behavior to others,Public Transport,Passengers on bus/metro,Expected
Introducing/transferring cultural heritage to new generation,Museum,Visiting museums and historical sites,Expected
Traditional and simple living in nomadic tents,Nomadic tenting,A nomadic family living in a tent,Normal
Observing Islamic decorum,Office meeting,Employees observing proper hijab and dress code,Expected
Performing religious rituals in public places,Airport,A group conducting religious rituals at an airport,Normal
Maintaining physical distance between unrelated men and women,Shopping mall,Shoppers browsing in a mall,Expected
Family stability and importance of marriage,Family environment,Couples value preserving and strengthening the family,Expected
Employing children for hard labor during Nowruz,Workplace,An employer exploiting children for hard labor,Taboo
Inappropriate behavior at the workplace,Workplace,An employee behaving inappropriately and insulting colleagues,Taboo
Not observing hygiene in distributing votive offerings,Mourning procession,Preparing and distributing votive food without observing hygiene,Taboo
Avoiding judgment and criticism of others,Cafe,A group of friends chatting without judging others,Normal
Avoiding causing noise disturbance,Library,Students studying in the library,Expected
Insisting on repeatedly serving guests,Home,The host repeatedly offering and insisting on serving the guests,Expected
Avoiding crowding/noise in public places,Hospital,People causing overcrowding and noise in a hospital hallway,Taboo
Avoiding sins,Mosques,Believers avoid unlawful acts,Expected
Warmly welcoming and hosting guests,Grandmother's Home,Hosting guests at grandmother's home,Expected
Complaining and disrespect towards grandparents,Grandparents' home,Visiting grandparents' home,Taboo
Not causing disturbance to others in public,Subway/Bus,Passengers using public vehicles,Expected
Following hygiene practices in medical centers,Clinic,Doctors and nurses following hygiene practices at a clinic,Expected
Gifting flowers and sweets during family visits,Host's home,A guest who has come for a visit,Expected
Avoiding offensive behavior towards others,Gym,People exercising at the gym,Expected
Encouraging and promoting youth entrepreneurship,University,Students attending university classes,Normal
Preserving environment/public cleanliness,Park,Citizens using the park,Expected
Complete lack of hijab in public,City street,A woman walking without a hijab on the street,Taboo
Respecting queues at the bank,Bank,Customers standing in line to receive banking services,Expected
Not sharing obscene and unethical content online,Cyberspace,A user sharing pornographic images and videos,Taboo
Telling jokes,Joyous gatherings,Recounting jokes and humorous anecdotes,Expected
Reciting inappropriate poetry on Yalda Night,Family gathering,Youths in the presence of elders,Taboo
Not adhering to health protocols during a pandemic,Hospital,Patients and companions not following health protocols,Taboo
Begging for financial help,City street,A beggar asking pedestrians for financial help,Normal
Offering seat next to self to guest,Family Party,Host offering guest to be seated,Expected
Sexual jokes,Office meeting,Co-workers attending a work meeting,Taboo
Prostitution of women and men,City street,Sex workers soliciting services on the street,Taboo
Avoiding gender or racial jokes,Workplace,Coworkers interacting with each other in the workplace,Expected
Public displays of affection,Park,A young couple caressing each other in the park,Taboo
Gender-segregated gyms for men and women,Gym,Individuals working out at separate gyms for each gender,Expected
Following apartment rules,Apartment,Residents adhering to rules and paying fees on time,Expected
Aiding victims of natural disasters,Disaster-struck areas,Relief workers assisting victims of floods and earthquakes,Expected
Coldness and disrespect towards distant relatives,Family,Meeting distant relatives,Taboo
Good manners and forgiveness,Neighborhood,Neighbors treat each other kindly,Normal
Wearing chador at religious sites,Holy Shrine,A woman visiting Imam Reza's shrine,Expected
Not wearing a hijab at religious sites,Shrine,A woman at the Imam Reza shrine without a hijab,Taboo
Observing hijab in pictures and videos shared online,Cyberspace,A woman posting her pictures on social media,Normal
Wearing mourning clothes at a wedding,Wedding ceremony,People wearing mourning clothes at the wedding,Taboo
Eating food,Restaurant,Customers dining at the restaurant,Expected
Maintaining decorum and dignity in conduct and speech,Government office,Citizens visiting a government office,Expected
Unbridled and provocative dancing at public events,Wedding ceremony,Wedding guests provocatively and scantily dancing at a wedding,Taboo
Taking photographs of people and scenery,Traditional market,In a traditional tourist-attracting market,Normal
Backbiting and gossiping about others,Family party,People gossiping about absentees at a family party,Normal
Kissing the bride's cheeks by guests,Wedding ceremony,"At the wedding ceremony, guests kiss the bride's cheeks",Normal
Priority seating for the elderly,Bus,A youth giving seat to an elderly person,Expected
Caring for patients and the elderly,Hospital,Nurses providing compassionate and respectful care to patients,Expected
Baking sweets and preparing souvenirs for guests,Home,The host preparing local sweets as souvenirs for guests,Normal
Limited music/singing at gatherings,Wedding ceremony,Music/singing only played during certain parts of the ceremony,Normal
Participating in charitable/public welfare works,Rowzeh Khani,Attending to honor religious figures,Expected
Avoiding usury and unlawful transactions,Business environment,Business owners avoid usurious transactions,Expected
Mandatory hijab for women in schools,Girls' school,Students observing mandatory hijab at school,Expected
Expecting sacrifice and selflessness from women,Family,By husbands and mothers in the family setting,Expected
Alcohol trade and sales,Bazaar,A vendor selling alcoholic beverages in the bazaar,Taboo
Consuming non-alcoholic beverages,Shopping mall,At a shopping mall while shopping,Normal
Preparing traditional food for guests,Home,A host preparing and serving traditional food to guests,Expected
Sitting around the Yalda spread,Family gathering,A family gathered around the Yalda table,Expected
Taking precautions,Chaharshanbe Suri,A family watching fireworks from a safe distance,Normal
Not respecting others' privacy,Apartment,A neighbor prying into others' private lives,Taboo
Illegal gatherings and street protests,City street,On city streets without legal permit,Taboo
Eating allowed in designated public areas,National park,In a natural area and national park,Normal
Observing turn in line,Queue,People standing in line,Expected
Supporting artists and cultural figures,Theater,Attending theater performances,Normal
Maintaining Islamic decorum and etiquette,Government office,For men and women working at government offices,Expected
Avoiding inappropriate attire in public,Shopping mall,Families shopping at the mall,Expected
Teaching ethics and social norms to children,School,Teachers instructing moral values and proper social conduct,Expected
Eating raw garlic in traditional ceremonies,Traditional ceremonies,Raw garlic is consumed in some traditions,Normal
Mocking religious rituals and practices of others,University,A student mocking others' religious practices at the university,Taboo
Cleaning streets after Chaharshanbe Suri,City street,A group of citizens collecting trash,Normal
Avoiding food waste,Gathering,Leftover food from the gathering,Expected
Empathizing with victims of natural disasters,Natural Disaster,Aiding victims of earthquakes/floods,Expected
Providing useful and insightful suggestions,Office meeting,Attending organizational and company meetings,Normal
Giving Eidi (cash gifts) to children,Friends/Relatives' homes,Grandparents or other relatives giving Eidi to children,Expected
Hanging out freely before marriage,Apartment,An unmarried couple meeting at an apartment without family present,Taboo
Holding bloody mourning rituals,Mourning ceremony,A group of Shia Muslims performing bloody self-flagellation at a mourning ceremony,Normal
Receiving gifts,Birthday party,Guests at a birthday party,Normal
Running red lights,City street,A driver running a red light at a busy intersection,Taboo
Doing personal tasks,Workplace,An employee handling personal matters during work hours,Normal
Supporting domestic/national products,Marketplace,Customers buying Iranian products over foreign imports,Normal
Freedom of expression,University,Students discussing various topics,Normal
Respecting clergy and religious scholars,Mosques/Religious sites,A person showing respect to a cleric,Expected
Maintaining traditional hospitality etiquette,Family gathering,The host hosts guests respectfully and insistently,Expected
Invading individuals' privacy,Subway,A passenger viewing others' personal content on the subway,Taboo
Respecting intellectual property rights,Cyberspace,A user downloading a file from a website,Normal
Cooking traditional dishes for dinner parties,Dinner party,A family eating a traditional meal,Normal
Holding weddings during mourning periods,Wedding ceremony,A wedding celebration held during mourning periods like Muharram,Taboo
Avoiding drugs/alcohol,Nomadic Camp,Nomad youths in tented camp,Expected
Honoring Iranian luminaries and greats,Museum,Visitors touring a museum,Expected
Displaying etiquette on virtual platforms,Cyberspace,Friend group on social media,Expected
Having a simple and regular iftar meal,Iftar gathering,Iftar gathering during Ramadan,Expected
Staying up until Fajr for suhoor,Home,An individual waiting for Fajr to have suhoor,Expected
Uncensored and free media publishing news,Newspaper,Journalists publishing news without censorship,Taboo
Keeping a pet at home,Home,A family keeping a pet at home,Expected
Respecting rights of the disabled on public transport,Subway/Bus,Drivers assisting and respecting disabled passengers on subway/buses,Expected
Playing with children in public places,Park,In a park and family recreation area,Normal
Observing ethical principles in trade,Marketplace,An honest vendor dealing with customer,Expected
Observing mahram/non-mahram relations between men and women,University,Between male and female students on campus,Normal
Prioritizing men in family financial matters,Home,A family making financial decisions,Expected
Promoting tourism destinations online,Cyberspace,A tourism channel introducing historical sites and natural attractions,Expected
Using secular and non-religious symbols in public spaces,Public spaces,People using secular symbols in public spaces,Taboo
Aggressive and abusive behavior,Restaurant,A customer yelling and verbally abusing restaurant staff,Taboo
Sharing travel experiences in cyberspace,Cyberspace,A tourist sharing travel photos and stories on a personal blog,Normal
Stick game,Lori regions,Playing the traditional stick game at festivals and weddings,Normal
Kissing one's spouse on the lips in public,Park,A couple kissing each other in a park,Taboo
Women covering hair with headscarves,City Street,Women wearing headscarves in public,Expected
Freely criticizing government policies and actions,Media,A journalist freely criticizing government policies,Taboo
Maintaining silence at the library,Library,People silently studying at a library,Expected
Inappropriate athletic attire,Sports club,Athletes wearing improper attire while training on sports grounds,Taboo
Encouraging criminal behavior in cyberspace,Cyberspace,A group promoting violence and crime on a website,Taboo
Henna night,Wedding ceremony,Applying henna on the bride's hands,Expected
Guiding tourists if needed,Desert,Foreign tourists touring the area,Normal
Wearing inappropriate clothing at the airport,Airport,A woman in revealing and short clothing walking through the airport,Taboo
Commemorating the martyrdom of an Imam,Husayniyah,A group holding mourning ceremonies for Imam Hussain (AS),Expected
Labor strikes and gatherings for workers' rights,Factory entrance,A group of workers striking and gathering in front of a factory,Normal
Obeying traffic laws,Road,Drivers commuting on the road,Expected
Avoiding personal tasks during office hours,Office meeting,An employee at the workplace,Normal
Religious groups controlling schools,School,A religious group controlling and monitoring education at schools,Taboo
Avoiding harassing others in public places,Sidewalk,Pedestrians walking on sidewalk,Expected
Staying awake until dawn on Yalda Night,Family gathering,The family's youth stay awake until morning,Normal
Maintaining confidentiality of others' secrets,Family Home,Family members together,Expected
Avoiding smoking in public places,Park,A group of people resting in the park,Normal
Teaching women's empowerment,Educational centers,Classes teaching vocational and social skills to women,Expected
Sharing others' private information without consent,Cyberspace,Users in cyberspace,Taboo
Avoiding interference in indigenous rituals,Local Ceremony,Attending local ethnic ceremonies as observer,Expected
Respecting elders and the white-bearded,Village,A youth conversing with a village elder,Expected
Serving pork at a Nowruz feast,"Home, Restaurant",A host serving pork dishes in the Nowruz menu,Taboo
Introducing medicinal and traditional herbs to health tourists,Health tourism,Health tourism for medicinal herbs and traditional medicine,Normal
Not using expensive public services,Hotel,Tourists staying at low-cost hotels,Normal
Offering hospitality to guests,Family party,At a house party the host offers food/drink to guests,Expected
Insulting Iranian traditions and Nowruz customs,Anywhere,Someone mocking or insulting Nowruz traditions,Taboo
Women exercising in public places,Park,A group of women exercising in the park,Normal
Moderate insistence when offering,Mourning ceremony,Host offering votive food to attendees,Normal
Respectful treatment of women and girls,University,Male students behaving respectfully towards female classmates,Expected
Encouraging family to attend concerts,Music concert,A family encouraging each other to attend a music concert,Normal
Performing local ritual dances around the fire,Celebration venue,A group of local dancers performing traditional dances,Normal
Observing hijab,Mourning ceremonies,Women observing hijab at a mourning gathering,Expected
Supporting domestic trade,Marketplace,A buyer purchasing from a local vendor,Normal
Following social etiquette at gatherings,Party,Host and guests at a family party,Expected
Observing etiquette and courtesy,Sports club,People respecting each other and taking turns using the facilities,Expected
Offering others to enter/sit first,Office Meeting,Host offering attendees to be seated,Expected
Collective iftar (breaking the fast),Iftar gathering,People breaking their fast at the mosque,Expected
Wearing inappropriate clothing at a clothing store,Clothing store,A woman in revealing and tight clothing shopping at a clothing store,Taboo
Maintaining cleanliness at mosques,Mosque,Worshippers maintaining cleanliness in the mosque environment,Expected
Observing religious rites during Muharram,Muharram mourning,Mourners wearing black at processions,Expected
Environmental protection,Society,Citizens avoiding environmental pollution,Normal
Celebrating national/ritual traditions,Nowruz Festival,Welcoming Iranian New Year,Expected
Avoiding noise and disturbance for neighbors,Inn,Guests observing quiet and silence at the guesthouse,Expected
Maintaining workplace cleanliness,Workplace,Employees keep the workplace clean,Normal
Ordering more food than necessary,Family party,By host to serve guests generously,Expected
Wearing uniforms at the workplace,Workplace,A factory worker in uniform,Normal
Guiding tourists visiting tourist attractions,Information center,Providing tourist information at information centers,Normal
Withdrawing circulated coins,Bank,A customer in line to withdraw banknotes instead of coins,Normal
Fortune telling for the New Year,Home,An individual visiting a fortune teller for the New Year,Normal
Respecting defendant's rights,Court,Judge impartially hearing the defendant,Expected
Not queuing properly,Shopping mall,A customer skipping ahead in the line,Taboo
Appropriate and modest attire,University,In an educational university environment,Normal
Inviting family for birthday celebration,Birthday Party,Host welcoming guests,Expected
Sitting on the ground in appropriate places,Mountain,In a mountainous area for rest,Normal
Lack of personal hygiene on the subway,Subway,A passenger performing unhygienic acts on the subway,Normal
Wearing appropriate modest attire when entering religious sites,Mosque,Visitors entering the mosque,Expected
Hospitality and hosting guests,Family environment,The host respectfully hosts guests,Expected
Gender segregation in universities,University,Male and female students studying in separate universities,Normal
Observing congregational prayers at mosques during Ramadan,Mosque,A group of men and women praying congregational prayers at the mosque during Ramadan,Expected
Avoiding phone use while driving,Public transportation,A bus driver driving,Normal
Respecting privacy in the bedroom,Bedroom,A couple observing privacy and decorum in their bedroom,Normal
Making derogatory comments against minorities online,Online,A user posting racist and derogatory messages on social media,Taboo
Celebrating Nowruz with traditional rituals in the village,Nowruz celebration in village,Villagers celebrating Nowruz,Normal
Avoiding online harassment and abuse of others,Cyberspace,A user sending harassing and abusive messages to others,Taboo
Proper hosting of guests,Dinner Party,Host and guests at a formal dinner party,Expected
Cleaning up accommodation before leaving,Guesthouse,A foreign tourist cleaning up the guesthouse room before leaving,Expected
Respecting others' privacy,Home,Family members at home,Expected
Women singing,Mosque,Women singing at the mosque,Taboo
Not observing hijab for women in public,City street,For Muslim women on city streets,Taboo
Participating in the traditional Chaharshanbe Suri ceremony,Village,Villagers celebrating Chaharshanbe Suri,Expected
Respecting pedestrians on the street,City street,Drivers stopping to allow pedestrians to cross the street,Expected
Visiting martyrs' graves during Nowruz,Martyrs' graveyards/shrines,A group visiting martyrs' graves on Nowruz,Normal
Not observing silence in public places,Library,A group of students talking loudly,Taboo
Ignoring the importance of Yalda Night on social media,Yalda Night,A user posting disrespectful messages about Yalda celebration,Taboo
Congratulating elders on Yalda Night,Yalda Night,Grandchild with grandmother on Yalda Night,Expected
Avoiding handshakes with the opposite gender,Mosque,A man and woman meeting as strangers,Expected
Respecting others and avoiding offensive behaviors,Workplace,In a professional work environment with colleagues,Expected
Showing respect and reverence to sanctities,Mosque,Worshippers performing prayers in the mosque,Expected
Violent behavior and abuse towards children,Home,A father physically abusing his child at home,Taboo
Avoiding loud discussions in public areas,Library,Users studying in the library,Expected
Resisting foreign cultural infiltration,University,Students resisting foreign cultural influence,Expected
Inappropriate sexual relations at work,Workplace,Two employees in an inappropriate sexual relationship at work,Taboo
Respecting professors and faculty,University,Students treating faculty courteously,Expected
Sympathy and helping the needy during Ramadan,Mosque,Someone donating financial/food aid to the needy during Ramadan,Expected
Respecting religious rites during ceremonies,Religious Gathering,People attending mourning ceremonies,Expected
Silence and confidentiality in classified meetings,National Security Council Meeting,Council members maintaining confidentiality,Expected
Sharing unethical content online,Online,A user sharing obscene and unethical content online,Taboo
Traditional prayers and hymns around the sadeh fire,Celebration venue,A group of Zoroastrians praying and singing hymns,Expected
Internet access control and restrictions,Internet cafe,Users having restricted internet access at an internet cafe,Normal
Doing personal tasks,Classroom,A student doing personal tasks in the classroom,Taboo
Studying new sciences and translating Western works,University,Students studying new sciences and translating Western works at the university,Normal
Free access to all online information sources without restriction,Cyberspace,A researcher searching for information for a project online without filtering,Normal
Respecting children's/youth rights,Park,Children/youth playing in park,Expected
Not maintaining social distancing during pandemic,Shopping mall,People crowding without regard for social distancing at the mall,Taboo
Maintaining proper distance in conversations,Office meeting,Co-workers interacting at the workplace,Normal
Littering in nature and public areas,Mountain,Hikers discarding litter along the mountain trail,Taboo
Observing Islamic values at the theater,Theater,Audience observing Islamic values at the theater,Expected
Showing special respect to the host in Iranian homes,Home,Guests showing respect and repeatedly offering to the host,Expected
Offering seats in public places,Public transportation,Passengers sitting or standing,Normal
Avoiding kissing and hugging in public,City street,For a young couple on city streets,Normal
Criticizing Nowruz traditions in cyberspace,Cyberspace,Users in cyberspace,Taboo
Taking a number and waiting in line,Shopping mall,At a crowded store in the shopping mall,Expected
Teaching civic rights and laws in schools,School,Students learning about civic rights in the classroom,Expected
Preferring public transportation,Metro/Bus,Citizens using metro and buses instead of private vehicles,Normal
Using uniform and covered clothing for students,School,For female and male students in school,Normal
Observing silence and respect at martyrs' graves,Martyrs' cemetery,Visitors observing solemnity while visiting martyrs' graves,Expected
Respecting elders,Family gathering,A youth conversing with their elderly uncle,Expected
Giving flowers/gifts to women in the workplace,Office meeting,A man giving gifts to a female coworker,Taboo
Avoiding violent and aggressive behavior,City street,A group of youth on the street,Normal
Public display of affection,City street,A couple embracing each other on the street,Taboo
Assisting/cooperating in aiding victims,Contingency Event,Providing aid during accidents/emergencies,Expected
Supporting cultural diversity and ethnic minorities,Ethnic village,Visiting ethnic and local villages,Normal
Cheating in exams and tests,University,Students cheating by copying from each other,Expected
Observing social etiquette at a gathering,Family gathering,A young person amidst family in an expansive manner,Expected
Refraining from lying and deception,Bazaar,Buyers and sellers in the bazaar,Normal
Hosting guests with decorum and respect,Dinner Party,Hosting a dinner party for friends,Expected
Wearing weather-appropriate clothing,Family,Family members getting ready to go out,Normal
Celebrating the Prophet's (PBUH) birth anniversary,Husayniyah,Celebrations and religious songs for the Prophet's (PBUH) birth anniversary,Expected
Hunting animals in the zoo,Zoo,A group of hunters illegally hunting animals in the zoo,Taboo
Singing and joy at the beach,Beach,A group of friends singing and celebrating joyfully at the beach,Normal
Environmental/natural resource preservation,Nature,Environmentalists protecting nature and wildlife,Expected
Singing and listening to music,Mountain,In a mountainous area away from city noise,Normal
Buying new clothes for family members,Nowruz,A family shopping for Nowruz clothes,Expected
Creating progressive and modern intellectual movements in society,University,Professors and students promoting progressive ideas at the university,Normal
Observing Islamic decorum in public gatherings,Stadium,Appropriate conduct at stadiums/public venues,Expected
Caring for children and treating them properly,School,Parents and teachers kindly guiding and teaching children,Expected
Violating children's rights/abusing them,Park,Adults mistreating and abusing children,Taboo
Having tea with friends at a cafe,Cafe,A group of friends sitting and conversing at a cafe,Normal
Visiting family during Nowruz,Village Nowruz Celebration,Person visiting family in village,Expected
Respecting queues,Airport,Passengers lined up to go through airport gates,Expected
Spending excessive time watching TV,Home,Family members spending long hours watching TV,Expected
Promoting science and scientific research,University,Scientists and students engaged in research activities,Expected
Appreciating and thanking municipal workers,City Street,Sanitation workers and municipal employees on street,Expected
Observing modesty and hijab,Public places,Women wearing appropriate clothing,Expected
Greeting and inquiring about neighbors,Neighborhood street,Neighbors encountering each other,Expected
Violent and abusive behavior towards animals,Zoo,By visitors in a zoo,Taboo
Girls are expected to wear modest clothing,School,A female student walking in the school grounds,Expected
Body searches at facility entrances,Sports stadium entrance,Security team conducting body searches at stadium entrances,Normal
Unmarried couples staying without chaperones,Guesthouse,A young unmarried couple checking into a hotel room without a chaperone,Normal
Preserving traditions in wedding ceremonies,Wedding ceremony,A young couple holding their wedding ceremony,Expected
Strict parents expecting obedient children,Home,Family members having a meal at home,Expected
Tolerant treatment of religious minorities,City,Free/safe presence of other faiths in city,Expected
Inviting friends to a restaurant for alcoholic drinks,Restaurant,A group of friends drinking alcoholic beverages at a restaurant,Taboo
Mourning and lamentation,Rowzeh recitals,Attendees tearfully beating their chests,Expected
Improperly disposing of litter,Park,A group of tourists littering in the environment,Taboo
Preserving authentic Iranian arts/culture,Chaharshanbe Suri Festival,Participating in Chaharshanbe Suri rituals,Expected
Indecent public acts,Park,A couple engaging in indecent acts in a park,Taboo
Respecting neighbors' rights,Neighborhood,Neighbors interacting with each other,Expected
Respecting rights of disabled/elderly,Queue,Queuing at store or bank,Expected
Loud laughter in public places,Subway,Boarding a crowded subway car,Normal
Asking about others' well-being before starting a conversation,Workplace,Two coworkers meeting each other at work,Expected
